,age,skills,city,gender,specialty,java,maven,git,sql,hibernate,spring,oop,student,education_level,total_experience,skill_set,rubbish,rating
0,17,1,Омск,male,developer,1,0,1,1,0,0,1,1,special_secondary,0,"Обучаемость,JavaScript,jQuery,CSS,MySQL,HTML,PHP,Python,ООП,SQL,Linux,Ajax,Bootstrap,Apache HTTP Server,Java,MVC,Django Framework,Git,Laravel,Vue.js,Tailwind,Nginx,Redis,REST",1,0.4
1,19,1,Москва,male,other,1,0,0,1,0,0,0,0,secondary,0,"Python,Java,SQLite,Flask,Socket,async.io,JavaFX",0,0.2
2,21,1,Новосибирск,male,javajun,1,0,1,1,0,1,0,0,secondary,0,"C++,Java,Python,PostgreSQL,Git,Spring",0,0.3
3,34,1,Калининград,male,javadeveloper,1,0,1,1,1,1,0,0,higher,17,"Java,Spring Framework,PostgreSQL,Hibernate ORM,CSS,HTML,Git",0,1.0
4,21,1,Москва,male,javadeveloper,1,1,1,1,1,1,1,1,unfinished_higher,0,"Git,C#,Unity,Работа в команде,Oracle Pl/SQL,CMS Wordpress,Разработка компьютерных Игр,ООП,HTML,CSS,Java,Apache Maven,Spring Framework,Spring boot,Spring security,Spring data,Hibernate",2,0.3
5,18,1,Уфа,male,other,1,0,1,0,0,0,0,1,unfinished_higher,0,"Обучаемость,Адаптация,Работа в команде,Пользователь ПК,Python,Linux,C++,Mathematical Analysis,Английский язык,Работа с оргтехникой,CSS,Git,Java,Управление проектами",6,0.0
6,17,1,Москва,male,javajun,1,1,1,1,1,1,0,0,secondary,7,"Java,SQL,MySQL,PostgreSQL,Hibernate ORM,JBoss,Apache Tomcat,Apache Maven,Git,Design Patterns,Design Principles,Spring Framework,Spring Boot,Spring Data,Spring Security,Spring MVC,Spring Test",0,1.0
7,33,1,Omsk,male,javajun,1,1,1,1,0,1,0,0,bachelor,151,"Java EE,SQL,JDBC,Apache Maven,Git,JUnit,Mockito,Английский язык,Немецкий язык,Spring Framework,Spring MVC",1,0.5
8,36,1,Армавир,male,javadeveloper,1,1,1,0,1,0,1,0,higher,157,"Java,Maven,Linux,ООП,Git,HTML5,CSS3,Hibernate ORM,MySQL/PostgreSQL(базовые запросы)",1,0.3
9,18,1,Уфа,male,developer,0,0,0,0,0,0,0,0,secondary,20,"грамотная устная речь,,владение английским,уверенное пользование пк,коммуникативность,юмористические навыки,and so on ETC",5,0.0
10,30,1,Атырау,male,developer,0,0,0,0,0,0,0,1,higher,151,"Обучение персонала,Проведение промо акций,B2B Продажи,1С: Торговля,Развитие продаж,Поиск и привлечение клиентов,Подбор персонала,Sales Management,Мерчендайзинг,Проведение презентаций,Организаторские навыки,Управление отношениями с клиентами,Обучение и развитие,Развитие ключевых клиентов,Организация встреч,Управление лояльностью потребителей,Контроль качества,Навыки презентации,Ориентация на результат,Развитие бренда,Навыки переговоров,Деловое общение,Разработка Python,Программирование,Программирование на Python",24,0.0
11,32,1,Уфа,male,developer,1,0,1,0,0,0,0,0,special_secondary,62,"Java Core,Git,Java Syntax",0,0.0
12,29,1,Барнаул,male,developer,1,0,0,1,0,0,0,0,higher,9,"SQL,C++,Java,MS Visual Studio,Статистический анализ,Adobe Photoshop,GIS,QGIS,HTML,CSS,JavaScript,Kompas,Solid Works,3D Max,Sony Vegas,Deductor,MS Excel",1,0.0
13,22,1,Москва,male,javajun,1,1,1,0,0,0,1,0,secondary,0,"Maven,Java,Telegram api,Git,ООП,Целеустремлённость,Обучаемость,Прагматичность,Аналитическое мышление",4,0.0
14,20,1,Москва,male,javadeveloper,1,0,1,1,0,1,1,1,unfinished_higher,0,"Java,Java SE,Git,Spring Framework,MySQL,ООП,SQL,Swing",0,0.0
15,20,1,Москва,male,javadeveloper,1,0,1,1,0,1,1,1,unfinished_higher,0,"Java,C++,Git,C#,Python,ООП,SQL,Spring Framework,Android Studio",0,0.0
16,21,1,Москва,male,javadeveloper,1,1,1,1,1,1,0,1,unfinished_higher,9,"Git,Английский язык,C/C++,Linux,Java,Spring Framework,SQL,Hibernate ORM,Apache Maven,Gradle,JUnit,Spring MVC",0,0.2
17,42,1,Новокузнецк,male,javaintern,0,0,0,0,0,0,0,0,unfinished_higher,209,Обучаемость,1,0.2
18,20,1,Казань,male,javadeveloper,1,0,0,1,0,0,0,0,special_secondary,6,"Java,MS SQL,HTML,adb,emulator",0,0.3
19,25,1,Москва,male,other,0,0,0,1,0,0,0,0,unfinished_higher,38,"Ответственность,Python,SQL,Стратегия,Аналитическое мышление,Machine learning,Pandas",3,0.0
20,26,1,Москва,male,developer,0,0,1,1,0,0,1,0,special_secondary,30,"HTML,CSS,JavaScript,jQuery,ООП,Git,PHP,MySQL,Адаптивная вертска,Кроссбраузерная верстка",2,0.0
21,33,1,Москва,male,other,0,0,0,0,0,0,0,0,higher,140,"MS Excel,1C: Бухгалтерия,MS Word,Adobe Acrobat,MS Data Analyzer,MS Outlook,MS PowerPoint,Финансовый анализ,MS Access,CRM,Финансовая отчетность,Парус,Аналитическое мышление,Работа с большим объемом информации,Работа с базами данных,Электронная почта,Анализ финансовых показателей,Оценка рисков,Деловая переписка,Бюджетирование,Анализ данных,Экономический анализ,Анализ рисков,Аналитика,Управленческая отчетность,Навыки презентации,Финансовый контроль,IFRS,1С: Предприятие 8,Разработка инструкций",21,0.0
22,30,1,Нур-Султан,male,javaintern,1,1,1,1,1,1,1,0,bachelor,89,"Java EE,Spring Framework,ООП,PostgreSQL,Hibernate ORM,Git,Maven,Gradle,REST",0,0.0
23,23,1,Самара,male,javajun,0,0,0,0,0,0,0,1,unfinished_higher,0,,0,0.0
24,33,1,Калининград,male,javajun,1,0,1,0,0,0,0,0,unfinished_higher,18,"Git,Java Core,Java",0,0.3
25,27,1,Москва,male,javadeveloper,1,0,1,0,1,1,1,1,unfinished_higher,84,"Java,C++,Lua,ООП,Базы данных,Паттерны рефакторинга,Spring Framework,Apache Tomcat,REST,Linux,Git,CRUD,JDBC,Hibernate ORM,spring boot",2,0.0
26,35,1,Владивосток,male,developer,0,0,0,0,0,0,0,0,higher,142,Обучаемость,1,0.0
27,30,1,Симферополь,male,javajun,0,0,0,0,0,0,0,0,higher,25,Обучаемость,1,0.0
28,37,1,Пенза,male,other,1,0,1,1,0,0,0,0,higher,180,"Java,Git,SQL,Atlassian Jira,JUnit,Intellij IDEA,Планирование карьеры,C#,MS Visual Studio,Unity",1,0.0
29,31,1,Москва,male,javajun,1,0,1,1,1,1,1,0,higher,58,"Java,Spring Framework,SQL,Git,Hibernate ORM,ООП,REST",0,0.0
30,22,1,Москва,male,javadeveloper,1,0,1,1,0,0,0,1,unfinished_higher,0,"Java Core,JDBC,MS SQL,Математическая статистика,Математическое моделирование,Git,MATLAB",2,0.0
31,36,1,Воронеж,male,javadeveloper,1,1,1,1,0,1,0,0,unfinished_higher,166,"Java Core,SQL,Git,Apache Maven,Spring Framework",0,0.2
32,21,1,Алматы,male,javajun,1,0,1,1,0,1,0,1,unfinished_higher,0,"Java,Spring Framework,MySQL,PostgreSQL,Git,Docker,HTML,CSS,hystrix,Spring Boot,Spring",0,0.0
33,26,1,Ярославль,male,javadeveloper,1,0,1,1,1,1,0,1,unfinished_higher,27,"HTML,Git,Kanban,Java,Spring Framework,Hibernate,PostgreSQL",0,0.0
34,35,1,Омск,male,developer,1,1,1,1,0,1,0,0,candidate,108,"Java,JDBC,Git,MySQL,Apache Maven,JUnit,Mockito,ORM MyBatis,stream api,Linux,Spring boot,Spring MVC,IntelIJ IDEA,C#,MS Visual Studio,Visual Studio Code,Python,Flask,SQLAlchemie,SQLite",0,0.0
35,30,1,Москва,male,developer,0,0,0,0,0,0,0,0,higher,50,"Исполнительность,Стрессоустойчивость,Работа в команде,Выносливость,Python,PyCharm,HTML/CSS,1C,Оновы тестирования ПО",5,0.0
36,35,1,Москва,female,developer,0,0,0,1,0,0,0,0,higher,110,"Oracle Pl/SQL,SQL,MS SQL",0,0.0
37,28,1,Кизляр,male,javajun,1,0,1,1,1,1,0,0,higher,0,"MySQL,Hibernate ORM,Spring Framework,Git,Java,Redis,MongoDB,JUnit,MockMvc,JDBC,Docker,Liquibase,PostgreSQL",0,0.0
38,19,1,Лабинск,male,developer,0,0,1,0,0,0,0,0,secondary,30,"Разработка ПО,C++,Linux,Qt,MS Visual Studio,Дизайн,Дизайн интерфейсов,Unreal Engine,STL,CLion,CMake,Git",3,0.0
39,27,1,Сочи,male,developer,0,0,0,1,0,0,0,0,higher,0,"Работоспособность,Python,PHP,C++,C#,Django,JavaScript,Нелинейное программирование,Линейное программирование,Математическое программирование,Iron Python,MS SQL,SQL",4,0.0
40,25,1,Москва,male,other,1,0,0,1,0,0,0,0,master,12,"AutoCAD,Математическое моделирование,Java SE,MS Excel,MS Office,ArcGIS,MS PowerPoint,CorelDRAW,Adobe Photoshop,КИВР,Геодезия и картография,MS SQL,MIKE Zero,Гидравлика,Районирование территории,MS Visio,MS Project,Консультант плюс",6,0.0
41,27,1,Екатеринбург,male,javaintern,0,0,0,0,0,0,0,0,secondary,0,"Обучаемость,Ответственность",2,0.2
42,36,1,Омск,female,other,0,0,0,0,0,0,0,0,special_secondary,110,"коммуникабельность, многозадачность, трудолюбие,Самообучение web Developer по онлайн курсу.,html, css",2,0.0
43,22,1,Зеленоград,male,developer,1,0,0,0,0,0,1,1,unfinished_higher,0,"С#,C++,Java,ООП,Паттерны,умение понятно объяснить,Photoshop,3D Max,Живопись,Рисунок",5,0.0
44,19,1,Иннополис,male,developer,0,0,1,1,0,0,0,1,higher,25,"Python,JavaScript,Django Framework,Git,PostgreSQL,Redis,Docker",0,0.0
45,22,1,Москва,male,javadeveloper,1,0,0,0,0,0,0,0,higher,81,"Linux,Java",0,0.0
46,19,1,Екатеринбург,male,developer,0,0,0,0,0,0,0,1,unfinished_higher,0,,0,0.0
47,28,1,Москва,male,javadeveloper,1,1,1,1,1,0,1,0,unfinished_higher,52,"Ответственность,Пользователь ПК,Java,Git,ООП,SQL,Hibernate ORM,Apache Maven,JUnit,Log4j",2,0.2
48,28,1,Пятигорск,male,javajun,1,0,1,1,0,0,0,0,higher,9,"Исполнительность,SQL,Java,PostgreSQL,java 8,lombok,Git",1,0.0
49,27,1,Москва,male,javajun,1,1,1,1,1,1,0,1,unfinished_higher,11,"HTML,CSS,Git,PostgreSQL,SpringBoot,Java,LibGDX,Maven,Hibernate,Thymeleaf,MySQL,Gradle,Spring MVC,Spring Security,Jms,Docker,RabbitMQ,JUnit",0,0.3
50,20,1,Нур-Султан,male,javadeveloper,1,0,0,0,0,0,0,1,bachelor,18,"Обучение,Python,Java,HTML,Обучение и развитие,Английский язык,Проведение презентаций,Работа в команде,CSS,Пользователь ПК,Стрессоустойчивость,Ответственность",7,0.0
51,19,1,Москва,male,developer,0,0,0,1,0,0,0,1,special_secondary,4,"Исполнительность,Moodle,Apple MacOS,Python Programming,MS Office,1С: Предприятие 8,CSS,MS PowerPoint,MS Outlook,MySQL,HTML5,SQL,Английский язык,Linux,MS Visio,Программирование на Python 3.5 и C/C++/С#,Ориентация в КонсультантПлюс,iOS разработка",5,0.0
52,20,1,Москва,male,javadeveloper,1,1,1,1,0,1,1,1,higher,0,"Java Core,Spring Boot,SQL,Apache Maven,PostgreSQL,ООП,MyBatis,Git,Kotlin,Gradle,JUnit,AOP",0,0.0
