age,skills,city,gender,specialty,java,maven,git,sql,hibernate,spring,oop,student,education_level,total_experience,skill_set,rating
17,1,Омск,male,developer,1,0,1,1,0,0,1,1,special_secondary,0,"Обучаемость,JavaScript,jQuery,CSS,MySQL,HTML,PHP,Python,ООП,SQL,Linux,Ajax,Bootstrap,Apache HTTP Server,Java,MVC,Django Framework,Git,Laravel,Vue.js,Tailwind,Nginx,Redis,REST",0.429
19,1,Москва,male,other,1,0,0,1,0,0,0,0,secondary,0,"Python,Java,SQLite,Flask,Socket,async.io,JavaFX",0.314
21,1,Новосибирск,male,javajun,1,0,1,1,0,1,0,0,secondary,0,"C++,Java,Python,PostgreSQL,Git,Spring",0.4
34,1,Калининград,male,javadeveloper,1,0,1,1,1,1,0,0,higher,17,"Java,Spring Framework,PostgreSQL,Hibernate ORM,CSS,HTML,Git",0.572
21,1,Москва,male,javadeveloper,1,1,1,1,1,1,1,1,unfinished_higher,0,"Git,C#,Unity,Работа в команде,Oracle Pl/SQL,CMS Wordpress,Разработка компьютерных Игр,ООП,HTML,CSS,Java,Apache Maven,Spring Framework,Spring boot,Spring security,Spring data,Hibernate",0.586
18,1,Уфа,male,other,1,0,1,0,0,0,0,1,unfinished_higher,0,"Обучаемость,Адаптация,Работа в команде,Пользователь ПК,Python,Linux,C++,Mathematical Analysis,Английский язык,Работа с оргтехникой,CSS,Git,Java,Управление проектами",0.371
17,1,Москва,male,javajun,1,1,1,1,1,1,0,0,secondary,7,"Java,SQL,MySQL,PostgreSQL,Hibernate ORM,JBoss,Apache Tomcat,Apache Maven,Git,Design Patterns,Design Principles,Spring Framework,Spring Boot,Spring Data,Spring Security,Spring MVC,Spring Test",0.492
33,1,Omsk,male,javajun,1,1,1,1,0,1,0,0,bachelor,151,"Java EE,SQL,JDBC,Apache Maven,Git,JUnit,Mockito,Английский язык,Немецкий язык,Spring Framework,Spring MVC",0.663
36,1,Армавир,male,javadeveloper,1,1,1,0,1,0,1,0,higher,157,"Java,Maven,Linux,ООП,Git,HTML5,CSS3,Hibernate ORM,MySQL/PostgreSQL(базовые запросы)",0.697
18,1,Уфа,male,developer,0,0,0,0,0,0,0,0,secondary,20,"грамотная устная речь,,владение английским,уверенное пользование пк,коммуникативность,юмористические навыки,and so on ETC",0.246
30,1,Атырау,male,developer,0,0,0,0,0,0,0,1,higher,151,"Обучение персонала,Проведение промо акций,B2B Продажи,1С: Торговля,Развитие продаж,Поиск и привлечение клиентов,Подбор персонала,Sales Management,Мерчендайзинг,Проведение презентаций,Организаторские навыки,Управление отношениями с клиентами,Обучение и развитие,Развитие ключевых клиентов,Организация встреч,Управление лояльностью потребителей,Контроль качества,Навыки презентации,Ориентация на результат,Развитие бренда,Навыки переговоров,Деловое общение,Разработка Python,Программирование,Программирование на Python",0.477
32,1,Уфа,male,developer,1,0,1,0,0,0,0,0,special_secondary,62,"Java Core,Git,Java Syntax",0.398
29,1,Барнаул,male,developer,1,0,0,1,0,0,0,0,higher,9,"SQL,C++,Java,MS Visual Studio,Статистический анализ,Adobe Photoshop,GIS,QGIS,HTML,CSS,JavaScript,Kompas,Solid Works,3D Max,Sony Vegas,Deductor,MS Excel",0.437
22,1,Москва,male,javajun,1,1,1,0,0,0,1,0,secondary,0,"Maven,Java,Telegram api,Git,ООП,Целеустремлённость,Обучаемость,Прагматичность,Аналитическое мышление",0.4
20,1,Москва,male,javadeveloper,1,0,1,1,0,1,1,1,unfinished_higher,0,"Java,Java SE,Git,Spring Framework,MySQL,ООП,SQL,Swing",0.5
20,1,Москва,male,javadeveloper,1,0,1,1,0,1,1,1,unfinished_higher,0,"Java,C++,Git,C#,Python,ООП,SQL,Spring Framework,Android Studio",0.5
21,1,Москва,male,javadeveloper,1,1,1,1,1,1,0,1,unfinished_higher,9,"Git,Английский язык,C/C++,Linux,Java,Spring Framework,SQL,Hibernate ORM,Apache Maven,Gradle,JUnit,Spring MVC",0.551
42,1,Новокузнецк,male,javaintern,0,0,0,0,0,0,0,0,unfinished_higher,209,Обучаемость,0.472
20,1,Казань,male,javadeveloper,1,0,0,1,0,0,0,0,special_secondary,6,"Java,MS SQL,HTML,adb,emulator",0.348
25,1,Москва,male,other,0,0,0,1,0,0,0,0,unfinished_higher,38,"Ответственность,Python,SQL,Стратегия,Аналитическое мышление,Machine learning,Pandas",0.362
26,1,Москва,male,developer,0,0,1,1,0,0,1,0,special_secondary,30,"HTML,CSS,JavaScript,jQuery,ООП,Git,PHP,MySQL,Адаптивная вертска,Кроссбраузерная верстка",0.412
33,1,Москва,male,other,0,0,0,0,0,0,0,0,higher,140,"MS Excel,1C: Бухгалтерия,MS Word,Adobe Acrobat,MS Data Analyzer,MS Outlook,MS PowerPoint,Финансовый анализ,MS Access,CRM,Финансовая отчетность,Парус,Аналитическое мышление,Работа с большим объемом информации,Работа с базами данных,Электронная почта,Анализ финансовых показателей,Оценка рисков,Деловая переписка,Бюджетирование,Анализ данных,Экономический анализ,Анализ рисков,Аналитика,Управленческая отчетность,Навыки презентации,Финансовый контроль,IFRS,1С: Предприятие 8,Разработка инструкций",0.467
30,1,Нур-Султан,male,javaintern,1,1,1,1,1,1,1,0,bachelor,89,"Java EE,Spring Framework,ООП,PostgreSQL,Hibernate ORM,Git,Maven,Gradle,REST",0.694
23,1,Самара,male,javajun,0,0,0,0,0,0,0,1,unfinished_higher,0,,0.286
33,1,Калининград,male,javajun,1,0,1,0,0,0,0,0,unfinished_higher,18,"Git,Java Core,Java",0.387
27,1,Москва,male,javadeveloper,1,0,1,0,1,1,1,1,unfinished_higher,84,"Java,C++,Lua,ООП,Базы данных,Паттерны рефакторинга,Spring Framework,Apache Tomcat,REST,Linux,Git,CRUD,JDBC,Hibernate ORM,spring boot",0.575
35,1,Владивосток,male,developer,0,0,0,0,0,0,0,0,higher,142,Обучаемость,0.469
30,1,Симферополь,male,javajun,0,0,0,0,0,0,0,0,higher,25,Обучаемость,0.365
37,1,Пенза,male,other,1,0,1,1,0,0,0,0,higher,180,"Java,Git,SQL,Atlassian Jira,JUnit,Intellij IDEA,Планирование карьеры,C#,MS Visual Studio,Unity",0.632
31,1,Москва,male,javajun,1,0,1,1,1,1,1,0,higher,58,"Java,Spring Framework,SQL,Git,Hibernate ORM,ООП,REST",0.652
22,1,Москва,male,javadeveloper,1,0,1,1,0,0,0,1,unfinished_higher,0,"Java Core,JDBC,MS SQL,Математическая статистика,Математическое моделирование,Git,MATLAB",0.414
36,1,Воронеж,male,javadeveloper,1,1,1,1,0,1,0,0,unfinished_higher,166,"Java Core,SQL,Git,Apache Maven,Spring Framework",0.648
21,1,Алматы,male,javajun,1,0,1,1,0,1,0,1,unfinished_higher,0,"Java,Spring Framework,MySQL,PostgreSQL,Git,Docker,HTML,CSS,hystrix,Spring Boot,Spring",0.457
26,1,Ярославль,male,javadeveloper,1,0,1,1,1,1,0,1,unfinished_higher,27,"HTML,Git,Kanban,Java,Spring Framework,Hibernate,PostgreSQL",0.524
35,1,Омск,male,developer,1,1,1,1,0,1,0,0,candidate,108,"Java,JDBC,Git,MySQL,Apache Maven,JUnit,Mockito,ORM MyBatis,stream api,Linux,Spring boot,Spring MVC,IntelIJ IDEA,C#,MS Visual Studio,Visual Studio Code,Python,Flask,SQLAlchemie,SQLite",0.71
30,1,Москва,male,developer,0,0,0,0,0,0,0,0,higher,50,"Исполнительность,Стрессоустойчивость,Работа в команде,Выносливость,Python,PyCharm,HTML/CSS,1C,Оновы тестирования ПО",0.387
35,1,Москва,female,developer,0,0,0,1,0,0,0,0,higher,110,"Oracle Pl/SQL,SQL,MS SQL",0.484
28,1,Кизляр,male,javajun,1,0,1,1,1,1,0,0,higher,0,"MySQL,Hibernate ORM,Spring Framework,Git,Java,Redis,MongoDB,JUnit,MockMvc,JDBC,Docker,Liquibase,PostgreSQL",0.557
19,1,Лабинск,male,developer,0,0,1,0,0,0,0,0,secondary,30,"Разработка ПО,C++,Linux,Qt,MS Visual Studio,Дизайн,Дизайн интерфейсов,Unreal Engine,STL,CLion,CMake,Git",0.298
27,1,Сочи,male,developer,0,0,0,1,0,0,0,0,higher,0,"Работоспособность,Python,PHP,C++,C#,Django,JavaScript,Нелинейное программирование,Линейное программирование,Математическое программирование,Iron Python,MS SQL,SQL",0.386
25,1,Москва,male,other,1,0,0,1,0,0,0,0,master,12,"AutoCAD,Математическое моделирование,Java SE,MS Excel,MS Office,ArcGIS,MS PowerPoint,CorelDRAW,Adobe Photoshop,КИВР,Геодезия и картография,MS SQL,MIKE Zero,Гидравлика,Районирование территории,MS Visio,MS Project,Консультант плюс",0.468
27,1,Екатеринбург,male,javaintern,0,0,0,0,0,0,0,0,secondary,0,"Обучаемость,Ответственность",0.229
36,1,Омск,female,other,0,0,0,0,0,0,0,0,special_secondary,110,"коммуникабельность, многозадачность, трудолюбие,Самообучение web Developer по онлайн курсу.,html, css",0.355
22,1,Зеленоград,male,developer,1,0,0,0,0,0,1,1,unfinished_higher,0,"С#,C++,Java,ООП,Паттерны,умение понятно объяснить,Photoshop,3D Max,Живопись,Рисунок",0.371
19,1,Иннополис,male,developer,0,0,1,1,0,0,0,1,higher,25,"Python,JavaScript,Django Framework,Git,PostgreSQL,Redis,Docker",0.451
22,1,Москва,male,javadeveloper,1,0,0,0,0,0,0,0,higher,81,"Linux,Java",0.458
19,1,Екатеринбург,male,developer,0,0,0,0,0,0,0,1,unfinished_higher,0,,0.286
28,1,Москва,male,javadeveloper,1,1,1,1,1,0,1,0,unfinished_higher,52,"Ответственность,Пользователь ПК,Java,Git,ООП,SQL,Hibernate ORM,Apache Maven,JUnit,Log4j",0.589
28,1,Пятигорск,male,javajun,1,0,1,1,0,0,0,0,higher,9,"Исполнительность,SQL,Java,PostgreSQL,java 8,lombok,Git",0.479
27,1,Москва,male,javajun,1,1,1,1,1,1,0,1,unfinished_higher,11,"HTML,CSS,Git,PostgreSQL,SpringBoot,Java,LibGDX,Maven,Hibernate,Thymeleaf,MySQL,Gradle,Spring MVC,Spring Security,Jms,Docker,RabbitMQ,JUnit",0.553
20,1,Нур-Султан,male,javadeveloper,1,0,0,0,0,0,0,1,bachelor,18,"Обучение,Python,Java,HTML,Обучение и развитие,Английский язык,Проведение презентаций,Работа в команде,CSS,Пользователь ПК,Стрессоустойчивость,Ответственность",0.373
19,1,Москва,male,developer,0,0,0,1,0,0,0,1,special_secondary,4,"Исполнительность,Moodle,Apple MacOS,Python Programming,MS Office,1С: Предприятие 8,CSS,MS PowerPoint,MS Outlook,MySQL,HTML5,SQL,Английский язык,Linux,MS Visio,Программирование на Python 3.5 и C/C++/С#,Ориентация в КонсультантПлюс,iOS разработка",0.304
20,1,Москва,male,javadeveloper,1,1,1,1,0,1,1,1,higher,0,"Java Core,Spring Boot,SQL,Apache Maven,PostgreSQL,ООП,MyBatis,Git,Kotlin,Gradle,JUnit,AOP",0.6
20,1,Москва,female,other,0,0,1,1,0,0,1,1,bachelor,0,"Python,Linux,MySQL,Git,CSS,PostgreSQL,Django Framework,SQL,Bash,HTML5,ООП,R,MS Excel,Docker,Mathematical Statistics,Linear Algebra,Functional Analysis,Optimisation,Data Analysis,Data Mining,Data Science,Machine Learning,C++,C,Corporate Finance,Financial Modelling,Wolfram Matematica",0.443
22,1,Saint Petersburg,male,javajun,1,1,1,1,1,1,1,1,unfinished_higher,0,"Java SE,Java,JDBC,SQL,JavaScript,Spring Framework,REST,ООП,Hibernate ORM,HTML,CSS,Git,Apache Maven",0.586
20,1,Москва,male,javadeveloper,0,0,0,0,0,0,0,1,bachelor,0,Обучаемость,0.314
25,1,Москва,male,developer,1,0,0,1,0,0,0,0,unfinished_higher,0,"Python,Java,C/C++,JavaScript,HTML,CSS,Android SDK,Unity,Oracle Pl/SQL,Алгоритмы,Структуры Данных",0.371
28,1,Сибай,male,developer,0,0,0,0,0,0,0,0,unfinished_higher,33,"Ответственность,Доброжелательность,Общительность",0.315
32,1,Ульяновск,male,developer,1,1,1,1,0,1,0,0,higher,195,"Программирование,Java,Git,Пользователь ПК,SQL,PostgreSQL,Apache Maven,Spring Framework,Работа в команде",0.731
23,1,Тюмень,male,javadeveloper,1,0,0,1,0,1,1,0,secondary,0,"Java,ООП,SQL,XML,JavaScript,Intellij IDEA,Spring Framework",0.4
20,1,Томск,male,javadeveloper,1,1,0,1,0,0,1,1,higher,3,"Java,PostgreSQL,Maven/Gradle,Linux,C/C++,ООП,Многопоточное программирование",0.517
38,1,Москва,male,other,0,0,0,0,0,0,0,0,higher,188,"Управление проектами,Ведение переговоров,Проведение презентаций,Участие в Тендерах,B2B Продажи,Подготовка коммерческих предложений,Подготовка презентаций,Развитие продаж,Проектный менеджмент,Консультирование,Работа в команде,Технический перевод,Развитие ключевых клиентов,Проектная документация,Сопровождение клиентов,Организация презентаций,Организация совещаний,Международные контакты,Техническая поддержка,Корпоративные продажи,Проведение семинаров,Организация семинаров,Работа с ключевыми клиентами,Техническая документация,Проведение переговоров",0.51
30,1,Сарапул,female,developer,1,0,0,1,0,0,0,0,bachelor,36,"Работоспособность,Java Core, Java Syntax, HTML, CSS,CSS, Java Core, Java Syntax, postreSQL,,HTML",0.432
20,1,Санкт-Петербург,male,developer,1,1,1,0,0,0,1,1,higher,0,"ООП,C/C++,Java,Python,Java Servlets,Java Sockets,Apache Maven,HTML,CSS,JavaScript,Git,Linux,JSP,Mac Os,Unit Testing,Latex,Markdown",0.514
22,1,Москва,male,developer,0,0,0,0,0,0,0,0,unfinished_higher,61,"Обучаемость,Могу программировать на языке Python Java c#,могу программировать на языке c #,PHP",0.34
25,1,Москва,male,developer,0,0,0,0,0,0,0,1,higher,54,"Настройка ПК,Настройка ПО,Пользователь ПК,HTML,Английский язык,Администрирование сайтов,Работа с оргтехникой,1С: Предприятие 8",0.391
20,1,Барнаул,male,javajun,1,0,0,0,0,1,0,1,special_secondary,2,"Обучаемость,Java,spring,docker",0.345
23,1,Вологда,male,javajun,1,1,1,1,0,0,1,0,bachelor,3,"ООП,Java,Основы Spring,Maven,Git,SQL,Java Core,Collections API,JDBC",0.531
24,1,Самара,male,javajun,1,0,1,1,0,1,1,0,master,49,"Java,SQL,Git,ООП,Spring Framework,HTML,Java SE",0.629
23,1,Москва,male,javajun,1,1,1,1,0,1,1,1,higher,19,"Java,Spring Framework,ООП,Git,MySQL,JavaScript,jQuery,Ajax,Maven",0.617
23,1,Екатеринбург,male,javadeveloper,1,1,0,1,0,1,0,1,unfinished_higher,0,"Java,JavaScript,HTML,CSS,SQL,Software Development,MongoDB,PostgreSQL,Spring Framework,Apache Maven",0.457
31,1,Санкт-Петербург,male,javadeveloper,1,0,1,1,0,0,1,0,higher,87,"ООП,Java,Git,SQL,PostgreSQL",0.592
41,1,Кинель,male,other,1,1,1,0,0,0,1,0,higher,182,"Организационные навыки,Работа в команде,ООП,HTML,CSS,Java,обучаемость,Git,Apache Maven,Intellij IDEA,Eclipse",0.676
37,1,Москва,male,developer,0,0,0,0,0,0,0,1,special_secondary,164,"Ответственность,Коммуникабельность,Клиентоориентированность,Работа в команде,MS Outlook,Грамотная речь,Деловое общение,Деловая переписка,Работа с большим объемом информации,1С: Предприятие 8,Internet,MS Internet Explorer,обучаемость,Стрессоустойчивость,Уверенный пользователь ПК,Ориентация на результат,Работа с оргтехникой,Аналитическое мышление",0.403
22,1,Санкт-Петербург,male,developer,1,0,1,0,0,0,1,1,unfinished_higher,0,"Java,C++,Git,Python,ООП",0.414
19,1,Салехард,male,developer,0,0,0,0,0,0,0,0,secondary,17,"Работоспособность,Быстрая адаптация,Желание учиться",0.244
26,1,Москва,male,other,0,0,0,0,0,0,0,0,higher,46,"MS Excel,MS Word,MS PowerPoint,MS Office,Работа с базами данных,Python,VBA,Работа с большим объемом информации,MS Outlook,Анализ данных,Высокая скорость печати,Power pivot,Power Query,HTML",0.384
23,1,Москва,male,other,0,0,0,0,0,0,0,0,higher,0,,0.343
24,1,Геленджик,male,javajun,0,0,0,0,0,0,0,0,special_secondary,43,,0.295
19,1,Москва,male,developer,1,0,1,0,0,0,1,1,unfinished_higher,0,"Android SDK,Java,Android,Git,XML,ООП",0.414
28,1,Москва,male,javaintern,1,0,1,0,0,0,1,0,bachelor,0,"Git,ООП,Java Collections,Алгоритмы,Java Core,Linux",0.443
20,1,Дубна,male,javadeveloper,1,1,1,1,0,0,0,1,unfinished_higher,0,"Java Core,Java Collections,PostgreSQL,Git,Maven,Базовые знания : Spring Core, Spring Data JPA, Spring MVC",0.457
28,1,Москва,male,other,0,0,0,0,0,0,0,1,special_secondary,20,"Visual Studio C#,Паттерны программирования С# : Адаптер, Стратегия.,T-SQL знаю как работает основные команды : Insert, Order by.,ООП : знаю как применять наследование и инкапсуляцию и полиморфизм на практике,Практиковался с Linq : where * in * , имею не большой опыт в реализации,Изучаю ASP.core с подключением бд(ms sql server) через entity framework (автосвойства),Система контроля версий GIT Hub",0.275
21,1,Брянск,male,developer,1,0,1,1,0,0,1,1,unfinished_higher,5,"ООП,Git,HTML,CSS,CSS3,HTML5,MySQL,Java,SQL,C#,MS SQL Server,JavaScript,Java SE,.NET Framework,ASP.NET,Entity Framework,Web api,jQuery",0.462
21,1,Москва,male,other,0,0,0,0,0,0,0,1,unfinished_higher,3,"Работоспособность,Целеустремлённость,Достижение целей,Коммуникабельность,Развитость,Общение с людьми,Деловые встречи,Интерес",0.288
52,1,Сочи,male,developer,1,1,1,1,0,0,0,0,higher,145,"Git,Java,Intellij IDEA,Apache Maven,JUnit,log4j2,XML,SQL,1С-Битрикс,CS-Cart,JavaScript,CSS3,Linux,JDBC,JMH",0.643
26,1,Ульяновск,male,javadeveloper,0,0,0,0,0,0,0,0,higher,24,Исполнительность,0.364
