,score
nginx,800.6239061178405
Чита,607.8024092665747
Армавир,579.0679842334202
react,471.97993740402785
node.js,467.141049376938
упорство,464.7897789125831
1с: управление торговлей,460.1960929159565
laravel,452.37442473836836
Омск,441.2112411099323
Вологда,427.32817393754254
swagger,425.9384060244122
react.js,422.2237854216468
Сочи,421.87423875739006
Йошкар-Ола,412.0641082265509
Андижан,411.36945623540237
Нидерланды,406.92716892387506
jsp,405.9551152566107
h2,385.767915949644
candidate,380.36333291599044
json api,379.5768182374711
Алчевск,371.11540894177574
креативность,366.3362194418128
Харьков,365.7981236305682
Estonia,353.1866350641908
локальные сети,345.0556337098054
ajax,344.32334889593733
Великий Новгород,342.37410348721386
xml,340.6956350178273
Рыбинск,340.29347116936594
базовые знания sql,336.5254554241771
Барнаул,336.27908998456263
Голицыно,331.2603751761459
Наро-Фоминск,330.7261933467779
pixel perfect,330.3845835784688
microsoft access,330.04217489904175
socket,320.9282436024974
apache maven,320.2375681749286
asp.net,320.13737466212
разработка по,318.91383877874915
html,305.2563036437216
spring security,294.6286059559528
design patterns,294.62632010953416
Кинель,290.3672336914212
jooq,286.4345879083555
vue.js,286.1040008995291
Волгоград,280.075353500114
Турция,278.63887719933626
Калининград,278.0498205212137
Обнинск,273.8496431912639
.net framework,272.610086935269
Сургут,271.0760126852142
1с программирование,268.80905067911954
tcp/ip,266.96668987990824
си,260.69397756979174
jms,258.63274722732206
netbeans,257.1380219073443
Новосибирск,254.18387866228215
wiremock,245.6946815912784
Нижний Тагил,240.40989986619
yii,236.88978566557302
thymeleaf,233.39455037557892
Минск,231.73235309598132
cms wordpress,229.87751284483787
3ds max,224.8521996663379
Тюмень,222.746060973444
тестирование,220.71699203996897
грамотность,219.09392730973371
Ivanovo (Ivanovo Oblast),218.96633465330473
Кирово-Чепецк,218.50400996296287
Полетаево (Челябинская область),217.7280473582974
Киров (Кировская область),214.0255903533373
Зеленодольск (Республика Татарстан),213.7871369049798
работа с большим объемом информации,209.60204816830063
внимательность,202.88969152257621
Партизанск,200.20871605555018
экономический анализ,195.2946157948035
Мураши,190.73035419477952
английский язык,189.04679668504258
Улан-Удэ,187.86183347192016
графический дизайн,186.67488223069753
c,185.07849589228493
algorithms,185.07849589228493
Almaty,185.07849589228493
веб-программирование,182.46808413815023
техническая поддержка,179.7442364622954
Липецк,178.85128025183306
стрессоустойчивость,177.79636492078703
Испания,174.5494646036448
crm,172.59495198775014
vuejs,171.84191620503427
jquery,169.4058165352493
алгоритмы и структуры данных,168.70339119742334
visual studio c#,166.67364356251002
dhcp,166.28058466466354
borland delphi,164.90654932320422
vaadin,160.57428802453526
js,156.08129543633547
active directory,155.2038631499673
ms sql,155.1776055253749
web application development,151.2834054215822
Санкт-Петербург,148.72081904689765
прямые продажи,148.29082718907745
поиск и привлечение клиентов,148.29082718907745
Красноярск,147.2492107773809
data science,144.84691765424853
Таджикистан,144.20132491576658
spring data jpa,141.06089986520334
jmh,139.9221411698442
rest,137.9800018582921
spring,134.6631404356694
Алматы,133.83339954777279
исполнительность,132.2908178675614
прокладка кабелей,131.1844807177996
администрирование серверов windows,129.19401584378434
Новокузнецк,127.35227645934134
windows forms,126.67728388731979
rest api,122.4606158560375
54.0_337.0,119.29642476685392
rabbitmq,118.03424366109695
hsqldb,116.56532483053148
Новороссийск,114.68899015468386
html5,111.38916388929722
vba,107.9953765979386
sql,105.3915104792103
maven,104.52749032218593
управление персоналом,104.33532924229385
Вейделевка,103.79968052876325
Екатеринбург,101.71849812562962
jira,101.37434176798872
Нур-Султан,101.3023653874133
14.999_21.0,98.75730981941047
spring rest,97.77254266000034
управление интернет-проектами,95.78630116394608
unit testing,95.44213415541097
Подольск (Московская область),94.99498958845243
soap,91.65035970539202
excel,90.19119467982428
Samarkand,89.92025923637812
github,88.04235876386954
обучаемость,86.45408820100499
верстка,84.99810758848506
работа в команде,84.58149621177985
git,84.4183463348319
java core,81.72039799552381
java se,81.62821412469374
клиентоориентированность,78.93705304494647
webpack,77.43730640672723
express,77.30621858112244
ответственность,76.96588126488274
gwt,71.43719427907283
scada infinity,71.3049326626858
настройка сетевых подключений,71.16734819420016
sqlite,69.3249461493906
c#,67.08948389499034
контроль исправности оборудования,66.75797382435601
lombok,64.70089095052613
Omsk,63.95759398812159
ms visual basic,61.8283825600909
vue,59.67792594789991
Воткинск,59.41756198602268
python,56.26925012395497
21.0_25.0,53.868158869530326
Москва,53.728821239469426
Саратов,52.18271527551165
redmine,49.85487304548893
Химки,49.544362237245316
целеустремленность,49.24041047931541
консультирование,48.39037832531076
аналитические исследования,45.49950980144925
cистемы управления базами данных,45.11230939674594
mockito,44.275531104089715
Армения,44.18280267247473
angularjs,43.914526161111255
Томск,43.83169433552866
программирование,39.623823819164215
shell,38.58346658195314
Пермь,37.088756344980894
веб-дизайн,35.76479293754769
flask,33.948774229299275
заключение договоров,33.4156551742833
oracle pl/sql,32.02698359908736
1с,31.418612621196022
Алушта,30.41441762915026
json,28.29160987589997
c/c++,25.9988078305636
ведение переговоров,23.58068772357794
техническое обслуживание,19.232200966609877
управление проектами,15.845783252324486
django,15.064193249415423
oop,11.695515787600117
асу тп,8.49763974761181
Ставрополь,7.125575574531941
uml,4.361832656426835
spring boot,2.8194915512731518
hibernate orm,1.1802600538510042
bachelor,0.9121396155480829
Vinnitsa,0.0
схемотехника электронного оборудования,0.0
серверное программирование,0.0
ftp,0.0
Миасс,0.0
развитие продаж,0.0
Атырау,0.0
знание языков программирования,0.0
aws,0.0
навыки презентации,0.0
контроль качества,0.0
Kyiv,0.0
Муром,0.0
Bishkek,0.0
xml/xslt,0.0
Кизляр,0.0
Ногинск,0.0
Московский,0.0
Костомукша,0.0
Одинцово,0.0
USA,0.0
Воскресенск,0.0
Рощино (Челябинская область),0.0
Луганск,0.0
Уральск,0.0
Соликамск,0.0
Коломна,0.0
Стерлитамак,0.0
Тараз,0.0
Кисловодск,0.0
Адлер,0.0
Гродно,0.0
Мозырь,0.0
Вольгинский,0.0
структуры данных,0.0
Орск,0.0
stm32,0.0
Дзержинск (Нижегородская область),0.0
1с: торговля,0.0
Иннополис,0.0
Клинцы,0.0
Ипатово,0.0
Бухара,0.0
Германия,0.0
Климовск (Московская область),0.0
lazarus,0.0
java junior,0.0
Раменское,0.0
mvp,0.0
Абакан,0.0
умение работать в коллективе,0.0
mathematical statistics,0.0
matplotlib,0.0
развитие ключевых клиентов,0.0
Челябинск,-1.1455563671730309
windows xp,-1.8064250950809555
Уфа,-2.686369443590198
