,age,skills,city,java,maven,git,sql,hibernate,spring,oop,student,education_level,total_experience,skill_set,rubbish,rating
0,17,1,Омск,1,0,1,1,0,0,1,1,special_secondary,0,"Обучаемость,JavaScript,jQuery,CSS,MySQL,HTML,PHP,Python,ООП,SQL,Linux,Ajax,Bootstrap,Apache HTTP Server,Java,MVC,Django Framework,Git,Laravel,Vue.js,Tailwind,Nginx,Redis,REST",1,0.4
1,19,1,Москва,1,0,0,1,0,0,0,0,secondary,0,"Python,Java,SQLite,Flask,Socket,async.io,JavaFX",0,0.2
2,21,1,Новосибирск,1,0,1,1,0,1,0,0,secondary,0,"C++,Java,Python,PostgreSQL,Git,Spring",0,0.3
3,34,1,Калининград,1,0,1,1,1,1,0,0,higher,17,"Java,Spring Framework,PostgreSQL,Hibernate ORM,CSS,HTML,Git",0,1.0
4,21,1,Москва,1,1,1,1,1,1,1,1,unfinished_higher,0,"Git,C#,Unity,Работа в команде,Oracle Pl/SQL,CMS Wordpress,Разработка компьютерных Игр,ООП,HTML,CSS,Java,Apache Maven,Spring Framework,Spring boot,Spring security,Spring data,Hibernate",2,0.3
6,17,1,Москва,1,1,1,1,1,1,0,0,secondary,7,"Java,SQL,MySQL,PostgreSQL,Hibernate ORM,JBoss,Apache Tomcat,Apache Maven,Git,Design Patterns,Design Principles,Spring Framework,Spring Boot,Spring Data,Spring Security,Spring MVC,Spring Test",0,1.0
7,33,1,Omsk,1,1,1,1,0,1,0,0,bachelor,151,"Java EE,SQL,JDBC,Apache Maven,Git,JUnit,Mockito,Английский язык,Немецкий язык,Spring Framework,Spring MVC",1,0.5
8,36,1,Армавир,1,1,1,0,1,0,1,0,higher,157,"Java,Maven,Linux,ООП,Git,HTML5,CSS3,Hibernate ORM,MySQL/PostgreSQL(базовые запросы)",1,0.3
16,21,1,Москва,1,1,1,1,1,1,0,1,unfinished_higher,9,"Git,Английский язык,C/C++,Linux,Java,Spring Framework,SQL,Hibernate ORM,Apache Maven,Gradle,JUnit,Spring MVC",0,0.2
17,42,1,Новокузнецк,0,0,0,0,0,0,0,0,unfinished_higher,209,Обучаемость,1,0.2
